Repository,IssueTotalCount,DaysOpen,AverageIssueCountPerDay
ppr-deprecated,576,569,1.01
mhr,1,569,0
pssg-psd-css,2,567,0
moh-bcp,2,566,0
moh-address-validation,2,566,0
jag-cullencommission,1,562,0
Biodiversity_CC,2,560,0
telemetry,3,558,0.01
EDUC-KEYCLOAK-SOAM,2,557,0
popProjApp,2,557,0
hsdProj,3,557,0.01
GCS,3,557,0.01
Forester-Job-Placement,17,554,0.03
embc-ess-mod,2,551,0
NRPTI,3,551,0.01
dpdd-snippets,4,551,0.01
design-system-web-components,3,547,0.01
pipeline-bot,2,544,0
cass-api,1,544,0
cass-frontend,1,544,0
bc-fwa-river-profiles,10,543,0.02
GDX-Analytics-Looker-SBC-Call-Centre,2,541,0
invasivesBC-mussels-iOS,7,539,0.01
eagle-mobile-inspections,2,539,0
keycloak-group-extension,2,537,0
shinywqg,61,537,0.11
nr-metabase-showcase,2,536,0
tukey,2,532,0
CANSIM-retail-trade-shiny,4,532,0.01
issuer-kit,81,532,0.15
EDUC-STUDENT-API,2,532,0
EDUC-PEN-REQUEST-API,4,531,0.01
ols-geocoder-cpf-plugin,3,531,0.01
cap-eagle-mobile-inspections,2,531,0
HMCR,3,531,0.01
common-document-generation-service,2,530,0
digital_marketplace,11,529,0.02
EDUC-SOAM-API,2,525,0
sfts2s3,5,524,0.01
jag-dps,2,523,0
PIMS,5,522,0.01
namerequest,3,522,0.01
EDUC-STUDENT-ADMIN,2,520,0
bcsnowdata,2,519,0
digital-policy,7,519,0.01
zeva,2,517,0
digital.gov.bc.ca,452,514,0.88
EDUC-INFRA-COMMON,2,513,0
digital-principles,23,511,0.04
offSiteTrees,2,510,0
Similkameen-WQOs,2,510,0
arcgis_hackers,3,509,0.01
AGOL-PullandPushMetadata,1,509,0
AGOL_UsageReport,1,509,0
bcdevexchange,14,505,0.03
MapRobot,1,505,0
eagle-minio-openshift,0,505,0
sae-virtual-display,2,504,0
SBC_DivApps,4,504,0.01
design-research-guide,22,504,0.04
smk-tlink,161,503,0.32
MPB-regeneration,3,497,0.01
citz-imb-sp-breadcrumbs,2,497,0
BCSC-SS,3,497,0.01
business-create-ui,3,496,0.01
citz-imb-sp-vdr,2,496,0
moose_lch,3,495,0.01
moh-soapui,2,494,0
jag-ceis-crdp-integration,2,494,0
bcdc2bcdc,1,491,0
bcrs-utilities,2,491,0
EDUC-DOCUMENT-API,2,489,0
design-system-temporary,3,489,0.01
common-service-showcase,15,488,0.03
EDUC-COURSE-ACHIEVE-API,2,488,0
sbc-search,179,488,0.37
sdd-nifi,2,488,0
bcrs-template-ui,2,484,0
EDUC-COURSE-ACHIEVEMENT-UI,2,478,0
zevtesthello,2,477,0
diputils,13,474,0.03
nr-arch,7,469,0.01
aporeto-demo-project,2,468,0
wqg_data,87,463,0.19
maltd,3,463,0.01
cap-information,2,461,0
